country,source,post_id,title,text,comments,category,sentiment_score,upvotes,created_utc,url
Argentina,rss_www.economist.com,/content/c64jebjsr7bot1ifsqo7b0vcmgs2hoh4,The Big Mac index: where to buy a cheap hamburger,"M cDonald’s owed its early success to zealous pickiness. Other restaurant chains in the 1960s had similar rules for food preparation and cleanliness. But none enforced them as rigorously, according to “McDonald’s: Behind the Arches”, a history of the company by John Love.",,economy,,,1723023428.0,https://www.economist.com/finance-and-economics/2024/08/07/the-big-mac-index-where-to-buy-a-cheap-hamburger
Australia,rss_www.economist.com,/content/tnuruf6h7djckm1bbbqeag2dnk0ttpfl,Why house prices are surging once again,"I s a fresh housing boom under way? In April a house-price index for the world, excluding China, rose by more than 3% year on year (see chart 1 ). American house prices are 6.5% higher than a year ago, Australian ones have increased by 5% and Portuguese ones are soaring. In other countries, the market looks surprisingly strong given years of high interest rates (see chart 2).",,economy,,,1718522573.0,https://www.economist.com/finance-and-economics/2024/06/16/why-house-prices-are-surging-once-again
Bangladesh,rss_www.economist.com,/content/mm2v9g0sk22ao146jdu8ps72plub9q1e,The World Bank is struggling to serve all 78 poor countries,"I mpoverished countries do not have much in common. Half the population of Niger, a landlocked African nation beset by military coups, live in extreme poverty, eight in ten people have no access to electricity and GDP per person is just $620. By contrast, the average Bangladeshi is four times richer, and just one in 18 is among the world’s poorest. The country’s policymakers do not have to worry about simply providing power. They want to attract foreign capital to build renewable energy, so as to reduce reliance on coal.",,economy,,,1733982405.0,https://www.economist.com/finance-and-economics/2024/12/12/the-world-bank-is-struggling-to-serve-all-78-poor-countries
Brazil,rss_www.economist.com,/content/rv8g1j1sk21pf810qo2mdc79f6c1gsfh,Why Brazil’s currency is plunging,Fiscal and monetary policy are now pitted against one another,,economy,,,1734585365.0,https://www.economist.com/finance-and-economics/2024/12/19/why-brazils-currency-is-plunging
Brazil,rss_www.economist.com,/content/4r5t89lftmjle90dj308r044f9udrhfv,"Brazil, India and Mexico are taking on China’s exports","A t last, it seemed time for a manufacturing take-off. Having struggled to compete with China’s industrial might, other emerging markets stood ready to benefit as their rival’s labour costs surged and rising tensions between it and the West pushed firms to look for new factory locations. Last year foreign direct investment into China fell to a 30-year low.",,economy,,,1716439426.0,https://www.economist.com/finance-and-economics/2024/05/23/brazil-india-and-mexico-are-taking-on-chinas-exports
Canada,rss_www.economist.com,/content/et11frg5ljvvsavk8mmoodllp456u21g,Trump’s new tariffs are his most extreme ever,"H E HAS ACTUALLY gone and done it. President Donald Trump had long threatened to impose hefty tariffs on Canada and Mexico, America’s two biggest trading partners. Last month, when they were first due to take effect, he offered both countries a last-minute reprieve. This time, he was in no mood to play nice. New tariffs came into effect at 12:01am EST on March 4th, when America hit imports from its two neighbours with levies of 25%. For good measure, Mr Trump added another 10% tariff on Chinese goods, on top of the 10% charge he implemented last month, which itself added to tariffs imposed in his first term.",,economy,,,1741023965.0,https://www.economist.com/finance-and-economics/2025/03/03/trumps-new-tariffs-are-his-most-extreme-ever
Canada,rss_www.economist.com,/content/lkqdolunbn4fj4sr2svpq49kl54aje5f,How Trump’s tariff turbulence will cause economic pain,"D ONALD TRUMP took North America to the precipice of a trade war over the weekend. On February 3rd he cooled things down, delaying tariffs on Canada and Mexico by a month as the countries attempt to reach a deal that may involve everything from immigration controls to trade concerns. The sudden about-turn underscored Mr Trump’s reputation as an agent of chaos who uses extreme threats to wrest concessions out of others. It is a dangerous game that can just as easily lead to miscalculations and corrosive uncertainty for the global economy.",,economy,,,1738601343.0,https://www.economist.com/finance-and-economics/2025/02/03/how-trumps-tariff-turbulence-will-cause-economic-pain
Canada,rss_www.economist.com,/content/32hlmn9s362pto171bs57kgg119ituh6,Trump’s brutal tariffs far outstrip any he has imposed before,"L ESS THAN two weeks into his new administration, Donald Trump has placed large tariffs on America’s three biggest trading partners—raising the spectre of a global trade war. With executive orders signed on February 1st, he initiated tariffs of 25% on imports from both Canada and Mexico, and added levies of 10% to imports from China. Although Mr Trump had vowed to do just this, his actions will still represent a shock to the global economy. They will drive up prices, weigh on growth and sow uncertainty for businesses. Moreover, they are likely to be just the first salvo for Mr Trump, who is itching to implement tariffs that are both more aggressive and more global.",,economy,,,1738434943.0,https://www.economist.com/finance-and-economics/2025/02/02/trumps-brutal-tariffs-far-outstrip-any-he-has-imposed-before
Canada,rss_www.economist.com,/content/ulas6igopc3o0bi5gegpbvvnu0aactut,Trump wastes no time in reigniting trade wars,"D onald Trump has fired the first shot. Goods arriving in America from Canada and Mexico will meet tariffs of 25% as soon as he returns to the White House, the president-elect wrote on November 25th. Mr Trump also said that he would impose additional 10% tariffs on Chinese goods. He is not wasting any time in seeking to exert America’s influence.",,economy,,,1732611255.0,https://www.economist.com/finance-and-economics/2024/11/26/trump-wastes-no-time-in-reigniting-trade-wars
Canada,rss_www.economist.com,/content/5nqqn2lnoba4jd009moblldhes7vt02k,Why is Canada’s economy falling behind America’s?,"T he economies of Canada and America are joined at the hip. Some $2bn of trade and 400,000 people cross their 9,000km of shared border every day. Canadians on the west coast do more day trips to nearby Seattle than to distant Toronto. No wonder the two economies have largely moved in lockstep in recent decades: between 2009 and 2019 America’s GDP grew by 27%; Canada’s expanded by 25%.",,economy,,,1727705077.0,https://www.economist.com/finance-and-economics/2024/09/30/why-is-canadas-economy-falling-behind-americas
China,rss_www.economist.com,/content/et11frg5ljvvsavk8mmoodllp456u21g,Trump’s new tariffs are his most extreme ever,"H E HAS ACTUALLY gone and done it. President Donald Trump had long threatened to impose hefty tariffs on Canada and Mexico, America’s two biggest trading partners. Last month, when they were first due to take effect, he offered both countries a last-minute reprieve. This time, he was in no mood to play nice. New tariffs came into effect at 12:01am EST on March 4th, when America hit imports from its two neighbours with levies of 25%. For good measure, Mr Trump added another 10% tariff on Chinese goods, on top of the 10% charge he implemented last month, which itself added to tariffs imposed in his first term.",,economy,,,1741023965.0,https://www.economist.com/finance-and-economics/2025/03/03/trumps-new-tariffs-are-his-most-extreme-ever
China,rss_www.economist.com,/content/bij3891icr5q6ii6s0am0odceh19nu03,China’s leaders look to have blinked in their property face-off,"I f you are going to buy a flat in China, common advice goes, you should buy it from a “model student”. That is, a developer who has followed the rules, kept debts under control and refrained from excessive expansion. Vanke, a Shenzhen-based firm and one of China’s biggest homebuilders, once qualified as such. Its name appears on lists of China’s strongest developers. It has a good record of completing homes on time. Most important, it is state-backed. So it is all the more surprising that Vanke is now flunking out of school and may become the first developer in the current property crisis to receive a bail-out.",,economy,,,1740030066.0,https://www.economist.com/finance-and-economics/2025/02/20/chinas-leaders-look-to-have-blinked-in-their-property-face-off
China,rss_www.economist.com,/content/o52usr5g112bmetjldgdvu3bsd7n5it9,Xi Jinping shows how he will return American fire,"B ullies are often told to pick on someone their own size. Donald Trump has just followed that advice. After America’s president threatened to start a damaging new trade war with China, Canada and Mexico, America’s two smaller neighbours looked for ways to placate him. Accused of doing too little to stem the flow of illicit drugs and migrants, they both won a month’s reprieve by promising to send more agents and troops to their borders with America.",,economy,,,1738667813.0,https://www.economist.com/finance-and-economics/2025/02/04/xi-jinping-shows-how-he-will-return-american-fire
