country,source,post_id,title,text,comments,category,sentiment_score,upvotes,created_utc,url
Canada,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741718164,‘Closest target’: Why is Donald Trump so focused on Canada?,"Tariffs and threats to annex Canada fall into Donald Trump’s wider vision for US dominance in the world, experts say.

Montreal, Canada – In his first speech as Canada’s prime minister-designate, Mark Carney delivered what observers have described as a stunning statement.

“I know that these are dark days,” Carney told a room full of supporters on Sunday after he won the race to lead the governing Liberal Party. “Dark days brought on by a country we can no longer trust.”

The country in question? An ally with which Canada shares the world’s longest undefended land border and, until recently, seemingly unshakeable ties: the United States.

“That is jaw-dropping in the broader context,” Jon Parmenter, a history professor at Cornell University in New York state, said of Carney’s remark.

Experts say the idea that the US can no longer be trusted reflects a sentiment that has been spreading rapidly across Canada in recent months, however.

In that time, Canadians have watched with a mixture",,general,,,1741779987.0,https://www.aljazeera.com/news/2025/3/12/closest-target-why-is-donald-trump-so-focused-on-canada?traffic_source=rss
Canada,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741795909,"Bank of Canada cuts interest rates, warned country faces ‘new crisis’","BoC also said it would ‘proceed carefully with any further changes’ to rates given inflationary pressures from tariffs.

The Bank of Canada has trimmed its key policy rate by 25 basis points to 2.75 percent and raised concerns about inflationary pressures and weaker growth stemming from trade uncertainty and President Donald Trump’s tariffs.

The bank on Wednesday also said it would “proceed carefully with any further changes” to rates given the need to assess both the upward pressures on inflation from higher costs and the downward pressures from weaker demand.

The bank’s stance, which some economists said could be a signal that rates will not fall further, comes after months of inflation sitting at or around its 2 percent target.

“We’re focused on weighing those downward pressures and those upward pressures. Our job is to maintain price stability, and that’s what we’re focused on,” Governor Tiff Macklem told a news conference.

But he declined to give any forward guidance in terms ",,general,,,1741777132.0,https://www.aljazeera.com/economy/2025/3/12/bank-of-canada-cuts-interest-rates-warned-country-faces-new-crisis?traffic_source=rss
China,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741793644,"With an ailing economy, is China a stable global player?","Chinese leaders have unveiled their plans to revive the economy during the National People’s Congress.

Confidence in the economy and projecting China as a stable global player, despite serious economic problems, were the messages delivered by the nation’s top leaders during the National People’s Congress.

Beijing is asking consumers to spend more to hit a growth target of 5 percent and telling the US it is no longer relying on exports to power its slowing economy as a trade war with Washington escalates.

China’s leaders also aim to transform the nation into a technological superpower to rival the US.

The EU wants to spend big on defence.

Plus, Trump’s strategic Bitcoin reserve.",,general,,,1741776619.0,https://www.aljazeera.com/program/counting-the-cost/2025/3/12/with-an-ailing-economy-is-china-a-stable-global-player?traffic_source=rss
Indonesia,rss_feeds.bbci.co.uk,https://www.bbc.com/news/videos/c4g04v1e0evo#3,Moment inmates stage prison break in Indonesia,"At least 53 inmates escaped from Kutacane Penitentiary in Aceh, Indonesia, after breaking the main facility doors on 10 March.

Footage shows inmates running across the roof and jumping over vendors in the area as they flee. Twenty-one of them have surrendered or been arrested, while 32 remain at large as of Wednesday.

The escape happened during breakfast, when all inmates must queue to receive food.

The incident is being linked to issues of overcrowding. Officials say the prison can accommodate 100 people, however, it is currently housing around 368, according to local media.",,general,,,1741749115.0,https://www.bbc.com/news/videos/c4g04v1e0evo
Iran,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741798901,Iran’s Khamenei says nuclear talks with US won’t lift sanctions,"Supreme leader criticises the US for abandoning the nuclear deal and imposing sanctions, questioning the value of talks.

Iran’s Ayatollah Ali Khamenei says the United States’ offer to hold talks on its nuclear programme is an attempt to deceive global public opinion, as a letter arrived from US President Donald Trump urging negotiations.

Trump said last week that he had sent a letter to the Iranian leadership seeking negotiations over a new deal with Tehran to restrain its rapidly advancing nuclear programme.

The letter was handed over to Iranian Foreign Minister Abbas Araghchi on Wednesday by Anwar Gargash, diplomatic adviser to the president of the United Arab Emirates.

While the two officials were meeting, the supreme leader told a group of university students that Trump’s offer “is a deception aimed at shaping global opinion”.

“We negotiated for years, reached a complete and signed agreement, and then this individual tore it up,” Khamanei said. “How can one negotiate under suc",,general,,,1741784396.0,https://www.aljazeera.com/news/2025/3/12/irans-khamenei-says-nuclear-talks-with-us-wont-lift-sanctions?traffic_source=rss
Israel,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/c789v89e5djo#1,US envoy in Qatar to join talks on extending fragile Gaza ceasefire,"US envoy in Qatar to join talks on extending fragile Gaza ceasefire

6 hours ago Share Save Yolande Knell Middle East correspondent Reporting from Jerusalem Share Save

BBC Markets in Khan Younis in southern Gaza are reporting some food shortages after Israel blocked deliveries 10 days ago

The White House's envoy, Steve Witkoff, is in Qatar to join indirect talks between Israel and Hamas on extending the fragile ceasefire in Gaza. This week, negotiators from both sides have begun meeting mediators for the first time since President Donald Trump took office on 20 January. The 42-day first phase of the Gaza deal and temporary truce came into effect on the eve of his inauguration. That first phase ultimately saw Hamas return 25 living Israeli hostages and the remains of eight others - in exchange for about 1,800 Palestinian prisoners held by Israel – as well as five living Thai hostages. It ended on 1 March. Israel now hopes the US can advance a plan for a two-month truce extension, whic",,general,,,1741770646.0,https://www.bbc.com/news/articles/c789v89e5djo
Israel,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741811138,Palestinian survivor of Israeli sexual abuse testifies at UN,"NewsFeed Palestinian survivor of Israeli sexual abuse testifies at UN

The United Nations has heard testimony from Palestinians who detailed beatings, torture and sexual abuse they suffered at the hands of Israeli settlers and security agents. Mohamed Matar told the UN’s independent Commission of Inquiry on the occupied West Bank, that the abuse left him traumatised for months.",,general,,,1741791566.0,https://www.aljazeera.com/program/newsfeed/2025/3/12/palestinian-survivor-of-israeli-sexual-abuse-testifies-at-un?traffic_source=rss
Israel,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741790749,Palestinians mourn victims of Israeli attack on Gaza,"NewsFeed Palestinians mourn victims of Israeli attack on Gaza

Palestinians are mourning the victims of Tuesday’s Israeli air attack near Gaza City that killed four people, as a new round of ceasefire talks begin in Qatar.",,general,,,1741771080.0,https://www.aljazeera.com/program/newsfeed/2025/3/12/palestinians-mourn-victims-of-israeli-attack-on-gaza?traffic_source=rss
Kenya,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/cy4vp9wg99yo#2,Thousands celebrate a chief who will only rule for eight years,"Thousands celebrate a chief who will only rule for eight years

21 hours ago Share Save Amensisa Ifa BBC News, Arda Jila Badhasa Share Save

Amensisa Ifa / BBC

Thousands of people have been gathering in southern Ethiopia for one of the country's biggest cultural events. The week-long Gada ceremony, which ended on Sunday, sees the official transfer of power from one customary ruler to his successor - something that happens every eight years. The tradition of regularly appointing a new Abbaa Gadaa has been practised by the Borana community for centuries - and sees them gather at the rural site of Arda Jila Badhasa, near the Ethiopian town of Arero. It is a time to celebrate their special form of democracy as well as their cultural heritage, with each age-group taking the opportunity to wear their different traditional outfits. These are paraded the day before the official handover during a procession when married women march with wooden batons, called ""siinqee"".

Amensisa Ifa / BBC

The",,general,,,1741719073.0,https://www.bbc.com/news/articles/cy4vp9wg99yo
Mali,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/cx2gdjd57lro#1,Somali forces end deadly 24-hour hotel siege,"Somali forces end deadly 24-hour hotel siege

The mayor said seven people had been killed in the attack but witnesses said the death toll could be higher.

""The attackers have been neutralised. Some detonated themselves while others were killed by police forces,"" Omar Osman Calasow, the mayor of Beledweyne district, told the BBC.

The attack by al-Shabab began with a car bomb exploding, followed by gunmen entering the hotel, leading to intense clashes with security forces.

Somali security forces have ended a deadly 24-hour siege by Islamist fighters who stormed a popular hotel in the central city of Beledweyne, authorities said.

The raid at the Qahira Hotel took place as politicians, security officials and traditional elders were meeting to discuss plans for an offensive against al-Shabab in central Somalia.

Police officer Ali Mahad told AFP news agency that most of those in attendance had been rescued.

A federal lawmaker from Beledweyne, Dahir Amin Jesow, told the BBC that about s",,general,,,1741756521.0,https://www.bbc.com/news/articles/cx2gdjd57lro
