country,source,post_id,title,text,comments,category,sentiment_score,upvotes,created_utc,url
Belgium,rss_www.who.int,urn:uuid:be969af6-4a80-4467-8da7-95f1bf294bd3,"Frank, in-depth discussion as Belgium and WHO map ahead priorities for collaboration","In a three-day strategic dialogue, Belgium and WHO reviewed progress in their longstanding partnership, and agreed to further boost their collaboration on universal health coverage, health-systems strengthening and equitable access to essential vaccines, medicines and health technologies.

The Belgian delegation – headed by H.E. Christophe Payot, Ambassador of Belgium to the United Nations and other international organizations in Geneva – discussed issues of strategic importance, exchanged views on how to smoothly align WHO strategic directions and Belgium's development cooperation priorities in the context of an evolving global health landscape.

The partners exchanged updates on Belgium's support to global health areas brought in the spotlight during the Belgian presidency of Council of the European Union in 2024. WHO was represented by leadership and technical experts from Headquarters and from the Regional Offices for Africa and for Europe.

""After listening to the leaders and expe",,health,,,1741663163.0,https://www.who.int/news/item/11-03-2025-frank--in-depth-discussion-as-belgium-and-who-map-ahead-priorities-for-collaboration
Canada,rss_www.who.int,urn:uuid:e9da87e5-359e-429e-b995-afcd3adada12,Groundbreaking Ebola vaccination trial launches today in Uganda,"In a global first, Uganda’s Ministry of Health, the World Health Organization (WHO) and other partners today launched a first-ever clinical efficacy trial for a vaccine from Ebola from the Sudan species of the virus, and at an unprecedented speed for a randomized vaccine trial, in an emergency. This is the first trial to assess the clinical efficacy of a vaccine against Ebola Sudan virus disease. IAVI, the provider of the vaccine, conducted trials for safety and immunogenicity. It is also the first clinical trial of the vaccine during an outbreak.

The principal investigators from Makerere University and the Uganda Virus Research Institute (UVRI), with support from WHO and other partners, have worked tirelessly to get the trial ready in 4 days since the outbreak was confirmed on 30 January. It is the first trial to assess the clinical efficacy of a vaccine against Ebola disease due to Sudan virus. The speed was achieved through advanced research preparedness, while ensuring full compli",,health,,,1738595364.0,https://www.who.int/news/item/03-02-2025-groundbreaking-ebola-vaccination-trial-launches-today-in-uganda
Canada,rss_www.who.int,urn:uuid:48ffac4d-83d8-49ac-8280-0ce169ca4de3,WHO and partners enable access to candidate vaccine and treatments for outbreak of Sudan Ebola virus disease in Uganda,"WHO and partners have immediately boosted their support to the Ugandan government’s response to an outbreak of Sudan virus disease outbreak (SVD, part of the Ebola family), including by facilitating access to a candidate vaccine and candidate treatments. The first 2160 doses of the vaccine candidate and the treatments are already in Kampala, Uganda, as they were prepositioned as part of outbreak preparedness.

The vaccine trial processes underway include orientation of the research teams on the trial procedures, and logistics arrangements. Research teams have been deployed to the field to work along with the surveillance teams as approvals are awaited.

The candidate vaccine and the candidate treatments (a monoclonal antibody and an antiviral) are being made available through clinical trial protocols, which will make it possible to further document their efficacy and safety.

As of 30 January, there was one confirmed case and 45 contacts who are being followed up.

Uganda has experienc",,health,,,1738341019.0,https://www.who.int/news/item/31-01-2025-who-and-partners-enable-access-to-candidate-vaccine-and-treatments-for-outbreak-of-sudan-ebola-virus-disease-in-uganda
China,rss_www.who.int,urn:uuid:de1c6f88-8660-4274-b6f6-b08abbafa414,Milestone: COVID-19 five years ago,"Five years ago on 31 December 2019, WHO’s Country Office in China picked up a media statement by the Wuhan Municipal Health Commission from their website on cases of ‘viral pneumonia’ in Wuhan, China. In the weeks, months and years that unfolded after that, COVID-19 came to shape our lives and our world.

At WHO, we went to work immediately as the new year dawned. WHO employees activated emergency systems on 1 January 2020, and informed the world on 4 January. By 9-12 January, WHO had published its first set of comprehensive guidance for countries, and on 13 January, we brought together partners to publish the blueprint of the first SARS-CoV-2 laboratory test.

All along, we convened experts and ministries of health from around the world, gathered and analysed data, and shared what was reported, what we learned and what it meant for people. Read about WHO’s actions in this interactive timeline.

As we mark this milestone, let’s take a moment to honour the lives changed and lost, recogn",,health,,,1735555551.0,https://www.who.int/news/item/30-12-2024-milestone-covid-19-five-years-ago
Democratic Republic of the Congo,rss_www.who.int,urn:uuid:be9a803c-edfd-4dbe-93d4-d3da5c5333d7,"Dire health and humanitarian crisis in eastern Democratic Republic of the Congo prompts escalation of efforts by WHO, partners","The recent surge in violence in the eastern Democratic Republic of the Congo has led to significant loss of life, trauma, displacement, and the destruction of critical health infrastructure, exacerbating an already dire situation for millions of people.

The situation remains tense and volatile, and the health needs are immense. WHO remains on the ground, and has continued to respond to the health needs by providing lifesaving medical supplies, supporting health workers, and coordinating the emergency response.

Hospitals and morgues are overwhelmed. Since 26 January, 3082 injured and 843 dead have been reported from 31 health facilities in and around Goma, North Kivu.

With the alarming expansion of violence further south, 65 injuries were reported from 3 hospitals in South Kivu.

These numbers are expected to rise further as more injured people are able to reach health facilities and more dead bodies are gathered off the streets. Wound infections are a risk for those who have not bee",,health,,,1738897312.0,https://www.who.int/news/item/07-02-2025-dire-health-and-humanitarian-crisis-in-eastern-democratic-republic-of-the-congo-prompts-escalation-of-efforts-by-who--partners
Democratic Republic of the Congo,rss_www.who.int,urn:uuid:acb1ee43-7123-4ecd-af94-57be51cbd4e7,WHO launches US$ 1.5 billion Health Emergency Appeal to tackle unprecedented global health crises,"Conflict, climate change, epidemics, and displacement are converging to create an unparalleled global health crisis, with 305 million people in urgent need of humanitarian assistance in 2025. In response, the World Health Organization (WHO) is calling for US$ 1.5 billion for its 2025 Health Emergency Appeal (HEA), to support life-saving health interventions worldwide.

The appeal, launched today by WHO Director-General, Dr Tedros Adhanom Ghebreyesus, outlines the critical priorities and resources needed to address 42 ongoing health emergencies, including 17 Grade 3 crises – the most severe emergencies requiring the highest level of response. With health systems stretched to their limits and global financial resources dwindling, the US$ 1.5 billion are needed to help people facing the most difficult situations

“Conflicts, outbreaks, climate-related disasters and other health emergencies are no longer isolated or occasional – they are relentless, overlapping and intensifying,” said Dr T",,health,,,1737013460.0,https://www.who.int/news/item/16-01-2025-who-launches-us-1.5-billion-health-emergency-appeal-to-tackle-unprecedented-global-health-crises
Denmark,rss_www.who.int,urn:uuid:57534cbb-4724-477f-b986-d895481896e5,WHO and Switzerland cement cooperation until 2028,"WHO and Switzerland have announced the renewal of their cooperation strategy for the period 2024-2028. In 2013, Switzerland became the first high-income country in the WHO European Region to pilot a cooperation strategy with WHO (hereafter referred to as the WHO-Switzerland Cooperation Strategy). In 2022, WHO and Switzerland jointly decided to update and renew this cooperation strategy, which was done on 4 March 2025 at the Regional Office of the WHO in Copenhagen, Denmark.

Visit the WHO/Europe website to read the news release and learn more about the WHO—Switzerland country cooperation strategy 2024—2028.

Read more about the WHO-Switzerland partnership for the global BioHub system.

Barbara Schedler, Ambassador for Global Health at the Swiss Federal Office of Public Health, and Dr Henri P. Kluge, WHO Regional Director for Europe, agreed on the way forward for closer collaboration. Photo by: WHO/EURO",,health,,,1741331331.0,https://www.who.int/news/item/07-03-2025-who-and-switzerland-cement-cooperation-until-2028
Georgia,rss_www.who.int,urn:uuid:31f65c7b-e034-4c24-9d5b-8c660f8af469,Georgia certified malaria-free by WHO,"Following a nearly century-long effort, Georgia has been certified malaria-free by the World Health Organization (WHO). With today’s announcement, Georgia joins the ranks of 45 countries and 1 territory that have achieved this milestone.

“Today we congratulate the people of Georgia for their decades of targeted and sustained actions to eliminate malaria, one of the world’s leading killers,” said Dr Tedros Adhanom Ghebreyesus, WHO Director-General. “Georgia’s commitment and success gives us hope that a malaria-free world is possible.”

“This is a huge milestone worth marking; with Georgia’s achievement, the WHO European Region is another step closer to initiate certification as the first malaria-free region in the world,” said Dr Hans Henri P. Kluge, WHO Regional Director for Europe. “This doesn’t happen in a vacuum, this was made possible thanks to sustained investment, dedication of the health workforce and targeted efforts in prevention, early detection and effective treatment of al",,health,,,1737613027.0,https://www.who.int/news/item/23-01-2025-georgia-certified-malaria-free-by-who
Guinea,rss_www.who.int,urn:uuid:e9da87e5-359e-429e-b995-afcd3adada12,Groundbreaking Ebola vaccination trial launches today in Uganda,"In a global first, Uganda’s Ministry of Health, the World Health Organization (WHO) and other partners today launched a first-ever clinical efficacy trial for a vaccine from Ebola from the Sudan species of the virus, and at an unprecedented speed for a randomized vaccine trial, in an emergency. This is the first trial to assess the clinical efficacy of a vaccine against Ebola Sudan virus disease. IAVI, the provider of the vaccine, conducted trials for safety and immunogenicity. It is also the first clinical trial of the vaccine during an outbreak.

The principal investigators from Makerere University and the Uganda Virus Research Institute (UVRI), with support from WHO and other partners, have worked tirelessly to get the trial ready in 4 days since the outbreak was confirmed on 30 January. It is the first trial to assess the clinical efficacy of a vaccine against Ebola disease due to Sudan virus. The speed was achieved through advanced research preparedness, while ensuring full compli",,health,,,1738595364.0,https://www.who.int/news/item/03-02-2025-groundbreaking-ebola-vaccination-trial-launches-today-in-uganda
Guinea,rss_www.who.int,urn:uuid:525c91ff-8891-4672-b806-340800180edc,Guinea eliminates human African trypanosomiasis as a public health problem,"The World Health Organization (WHO) congratulates Guinea for eliminating the gambiense form of human African trypanosomiasis as a public health problem. This form of human African trypanosomiasis, the only type transmitted in Guinea, is the first neglected tropical disease to be eliminated in the country. The news marks an important achievement in this public health field on the eve of the world Neglected Tropical Diseases Day, marked on 30 January.

“Today’s announcement is both a testament to the global progress against neglected tropical diseases and a beacon of hope for nations still battling human African trypanosomiasis,” said Dr Tedros Adhanom Ghebreyesus, WHO Director-General.

Human African trypanosomiasis (HAT), or sleeping sickness, is a vector-borne parasitic disease caused by infected tsetse flies. Symptoms include fever, headaches, joint pain and, in advanced stages, neurological symptoms like confusion, disrupted sleep patterns and behavioural changes.

Effective country",,health,,,1738162602.0,https://www.who.int/news/item/29-01-2025-guinea-eliminates-human-african-trypanosomiasis-as-a-public-health-problem
