country,source,post_id,title,text,comments,category,sentiment_score,upvotes,created_utc,url
Afghanistan,rss_www.hrw.org,https://www.hrw.org/news/2025/03/07/cricket-council-address-taliban-ban-women-athletes,Cricket Council: Address Taliban Ban on Women Athletes,"Click to expand Image Afghan women cricket players prepare to take the field during the match between Afghanistan Women's XI and Cricket Without Borders XI in Melbourne, Australia, January 30, 2025. © 2025 Martin Keep/AFP via Getty Images

(New York) – The International Cricket Council should immediately suspend Taliban-run Afghanistan’s membership until women and girls can participate in the sport of cricket, Human Rights Watch said in a letter to the council’s chair, Jay Shah, that was made public today. The championship of the men’s Champions Trophy 2025 international cricket tournament, featuring eight teams including Afghanistan, takes place on March 9, 2025, in Dubai.

Since taking over Afghanistan in August 2021, the Taliban have banned all sports for women and girls, forcing many athletes into hiding. Members of Afghanistan’s women’s national cricket team fled the country but have continued to practice and want to be recognized to compete internationally like the men’s national",,social,,,1741354200.0,https://www.hrw.org/news/2025/03/07/cricket-council-address-taliban-ban-women-athletes
Afghanistan,rss_www.hrw.org,https://www.hrw.org/news/2025/03/07/celebrating-afghan-womens-achievements,Celebrating Afghan Women’s Achievements,"Click to expand Image Protesters hold placards at a demonstration calling for women's rights in Afghanistan, in Parliament Square in London on March 8, 2024, on International Women's Day (IWD). © 2024 Henry Nicholls/AFP via Getty Images

This International Women’s Day we celebrate Afghan women’s bold resistance. Since the Taliban’s takeover of Afghanistan in August 2021, women have fought for their rights in a country where even their voices are deemed sinful and illegal, and their activism has been punished with torture.

But over the last year, thanks to their relentless courage and advocacy, we have witnessed important – if insufficient – steps toward holding the Taliban accountable.

In September, Australia, Canada, Germany, and the Netherlands pledged to hold the Taliban to account for violations of the United Nations Convention on the Elimination of All Forms of Discrimination against Women. This process could lead to proceedings against Afghanistan at the International Court of ",,social,,,1741346725.0,https://www.hrw.org/news/2025/03/07/celebrating-afghan-womens-achievements
Australia,rss_www.hrw.org,https://www.hrw.org/news/2025/03/07/cricket-council-address-taliban-ban-women-athletes,Cricket Council: Address Taliban Ban on Women Athletes,"Click to expand Image Afghan women cricket players prepare to take the field during the match between Afghanistan Women's XI and Cricket Without Borders XI in Melbourne, Australia, January 30, 2025. © 2025 Martin Keep/AFP via Getty Images

(New York) – The International Cricket Council should immediately suspend Taliban-run Afghanistan’s membership until women and girls can participate in the sport of cricket, Human Rights Watch said in a letter to the council’s chair, Jay Shah, that was made public today. The championship of the men’s Champions Trophy 2025 international cricket tournament, featuring eight teams including Afghanistan, takes place on March 9, 2025, in Dubai.

Since taking over Afghanistan in August 2021, the Taliban have banned all sports for women and girls, forcing many athletes into hiding. Members of Afghanistan’s women’s national cricket team fled the country but have continued to practice and want to be recognized to compete internationally like the men’s national",,social,,,1741354200.0,https://www.hrw.org/news/2025/03/07/cricket-council-address-taliban-ban-women-athletes
Australia,rss_www.hrw.org,https://www.hrw.org/news/2025/03/07/celebrating-afghan-womens-achievements,Celebrating Afghan Women’s Achievements,"Click to expand Image Protesters hold placards at a demonstration calling for women's rights in Afghanistan, in Parliament Square in London on March 8, 2024, on International Women's Day (IWD). © 2024 Henry Nicholls/AFP via Getty Images

This International Women’s Day we celebrate Afghan women’s bold resistance. Since the Taliban’s takeover of Afghanistan in August 2021, women have fought for their rights in a country where even their voices are deemed sinful and illegal, and their activism has been punished with torture.

But over the last year, thanks to their relentless courage and advocacy, we have witnessed important – if insufficient – steps toward holding the Taliban accountable.

In September, Australia, Canada, Germany, and the Netherlands pledged to hold the Taliban to account for violations of the United Nations Convention on the Elimination of All Forms of Discrimination against Women. This process could lead to proceedings against Afghanistan at the International Court of ",,social,,,1741346725.0,https://www.hrw.org/news/2025/03/07/celebrating-afghan-womens-achievements
Azerbaijan,rss_www.hrw.org,https://www.hrw.org/news/2025/03/07/azerbaijans-imprisoned-women-journalists,Azerbaijan’s Imprisoned Women Journalists,"Click to expand Image An original painting of the women journalists behind bars in Azerbaijan: from Abzas Media, Sevinj Vagifgizi, Nargiz Absalamova, and Elnara Gasimova; from Meydan TV, Aynur Elgunash, Aytaj Ahmadova, Aysel Umudova, and Khayala Aghayeva; and independent journalist Fatima Movlamli. © 2024 Meydan TV staff artist

Nine women journalists in Azerbaijan are marking International Women’s Day behind bars or under house arrest amid the government’s relentless crackdown on critics.

Women journalists and civic activists who speak truth to power face unique risks in Azerbaijan’s patriarchal society. The authorities have a long record of subjecting them to gender-based smear campaigns and trolling in an effort to intimidate and discredit them. As an Azerbaijani woman journalist living in involuntary exile myself, the steep price of criticizing the government – including the gender-based threats – is all too familiar.

But the government’s approach to political persecution is othe",,social,,,1741360041.0,https://www.hrw.org/news/2025/03/07/azerbaijans-imprisoned-women-journalists
Bahrain,rss_www.hrw.org,https://www.hrw.org/news/2025/03/10/bahrain-authorities-violate-detained-childrens-rights,Bahrain: Authorities Violate Detained Children’s Rights,"Click to expand Image © 2016 Yarek Waszul for Human Rights Watch

(Beirut) – Bahraini authorities abuse and threaten children detained in connection with protests and other forms of political expression, Human Rights Watch and Americans for Democracy and Human Rights in Bahrain (ADHRB) said today. In separate investigations, the rights groups found that although Bahraini authorities released many children from detention in 2024, they have continued to arrest and detain children and violate their rights.

Bahraini authorities should take urgent steps to end the abuse of children in detention, and should only detain children as a last resort in exceptional cases. They should also compensate or provide other appropriate remedies for people who have suffered abuse in detention, including children deprived of their rights during critical childhood years, such as limiting their access to education.

“No child or adult who is participating in peaceful protest should be arrested, tortured, and",,social,,,1741570200.0,https://www.hrw.org/news/2025/03/10/bahrain-authorities-violate-detained-childrens-rights
Belarus,rss_www.hrw.org,https://www.hrw.org/news/2025/03/11/myanmar-juntas-farcical-plans-elections,Myanmar Junta’s Farcical Plans for Elections,"Click to expand Image Sr. Gen. Min Aung Hlaing during the National Defense and Security Council meeting in Naypyidaw, Myanmar, January 31, 2023. © 2023 The Military True News Information Team via AP Photo

On Saturday, Myanmar’s junta leader, Sr. Gen. Min Aung Hlaing, announced during a visit to Belarus that the country would hold national elections by January 2026.

If the proposed timeframe holds, Myanmar’s citizens would head to the polls under a junta that has been committing numerous atrocities since the military took power in a February 2021 coup. Widespread repression, including the arbitrary detention of opposition politicians and the dissolution and criminalization of their political parties, has created a climate of fear that makes free and fair elections impossible. Military abuses are rampant in areas contested by ethnic armed groups and anti-junta forces.

Myanmar’s generals do not control enough of the country to hold credible elections. Last October, the military conduct",,social,,,1741693601.0,https://www.hrw.org/news/2025/03/11/myanmar-juntas-farcical-plans-elections
Bulgaria,rss_www.hrw.org,https://www.hrw.org/news/2025/03/10/bulgaria-saudi-activist-risk-deportation,Bulgaria: Saudi Activist at Risk of Deportation,"Click to expand Image Abdulrahman al-Khalidi. © Private

(Beirut) – Bulgarian authorities should suspend any plans to deport Saudi human rights defender Abdulrahman al-Khalidi to Saudi Arabia, and should allow his resettlement to a third country, twenty organizations said today. Bulgarian authorities would violate the Bulgarian, European, and international law obligation of nonrefoulement, which bars returning someone to a country where they would risk facing torture or ill-treatment if they deport this highly visible critic of the Saudi government.

Bulgaria’s National Security Agency issued an expulsion order against al-Khalidi in February 2024. On October 21, 2024, the Sofia Administrative Court ruling confirmed the expulsion order, imposing compulsory expulsion to Saudi Arabia, according to Al-Khalidi’s lawyer. Al-Khalidi has a separate pending asylum case and his lawyer in Bulgaria told Human Rights Watch that his expulsion order cannot be executed unless his asylum appeals are ex",,social,,,1741599000.0,https://www.hrw.org/news/2025/03/10/bulgaria-saudi-activist-risk-deportation
Burundi,rss_www.hrw.org,https://www.hrw.org/news/2025/03/12/dr-congo-rwanda-backed-m23-target-journalists-activists,"DR Congo: Rwanda-Backed M23 Target Journalists, Activists","Members of the Rwandan-backed M23 armed group secure a street prior to the arrival of the leader of Alliance Fleuve Congo (AFC), an alliance of political parties and armed groups including the M23, in Goma, Democratic Republic of Congo, on February 1, 2025.



(Nairobi) – The Rwanda-backed M23 armed group and the allied Alliance Fleuve Congo (AFC) have threatened, detained, and attacked journalists, critics, and civil society activists since capturing Goma in eastern Democratic Republic of Congo in late January 2025, Human Rights Watch said today. The Alliance Fleuve Congo is a politico-military coalition that includes the M23.

In North and South Kivu provinces, M23 fighters have raided homes, made death threats, and threatened reprisals, undermining independent media and the work of civil society groups. M23 fighters have also detained civil society leaders and committed summary executions, including killing a singer and activist at his home and five men doing forced labor.

“The Rwa",,social,,,1741732200.0,https://www.hrw.org/news/2025/03/12/dr-congo-rwanda-backed-m23-target-journalists-activists
Cambodia,rss_www.hrw.org,https://www.hrw.org/news/2025/03/11/myanmar-juntas-farcical-plans-elections,Myanmar Junta’s Farcical Plans for Elections,"Click to expand Image Sr. Gen. Min Aung Hlaing during the National Defense and Security Council meeting in Naypyidaw, Myanmar, January 31, 2023. © 2023 The Military True News Information Team via AP Photo

On Saturday, Myanmar’s junta leader, Sr. Gen. Min Aung Hlaing, announced during a visit to Belarus that the country would hold national elections by January 2026.

If the proposed timeframe holds, Myanmar’s citizens would head to the polls under a junta that has been committing numerous atrocities since the military took power in a February 2021 coup. Widespread repression, including the arbitrary detention of opposition politicians and the dissolution and criminalization of their political parties, has created a climate of fear that makes free and fair elections impossible. Military abuses are rampant in areas contested by ethnic armed groups and anti-junta forces.

Myanmar’s generals do not control enough of the country to hold credible elections. Last October, the military conduct",,social,,,1741693601.0,https://www.hrw.org/news/2025/03/11/myanmar-juntas-farcical-plans-elections
